ticker,volume,vwap,open,close,high,low,timestamp,trade_count,price_change,volatility,volume_surge,rsi,macd_line,macd_signal,macd_diff,adx,atr,buy_signal,mfi,ticker_encoded,T
GPRO,8072890.0,0.7801,0.76,0.782,0.7897,0.7595,1970-01-01 00:29:02.414400,8901.0,0.028947368421052656,0.03976300197498355,1.8071621365518642,47.39468573869802,-2.3918202201007617,-2.72805758903153,0.3362373689307683,4.451454710520176,60.229971998819885,1,0,0,GPRO
CNEY,447572.0,0.1658,0.1652,0.17,0.1739,0.1618,1970-01-01 00:29:02.414400,572.0,0.029055690072639216,0.07478368355995055,1.2732063195492636,47.32915858791712,-14.324801891467073,-14.882746669762643,0.5579447782955693,2.820728002296302,43.33121600191892,1,0,0,CNEY
STBX,1408557.0,0.2302,0.2149,0.2601,0.27,0.2036,1970-01-01 00:29:02.414400,2518.0,0.21033038622615163,0.3261296660117879,1.4558427732760046,47.08106215243474,-1.501146246128826,-8.333275790538995,6.832129544410169,4.391862562317866,51.2343607712157,1,0,0,STBX
SPHL,661906.0,0.5491,0.5279,0.5499,0.62,0.5183,1970-01-01 00:29:02.414400,999.0,0.04167455957567725,0.19621840632838128,2.0467719801032933,47.47254480078884,3.3246257543220956,0.402530812255354,2.9220949420667415,5.54190999064762,36.235151226570075,1,0,0,SPHL
JAGX,1360412.0,0.2595,0.25,0.254,0.2767,0.25,1970-01-01 00:29:02.414400,2845.0,0.016000000000000014,0.1068,1.8016907455045539,46.98497099264598,1.9945427804269116,0.8338753445981314,1.1606674358287803,5.677078019062594,45.11167765135794,1,0,0,JAGX
BW,913026.0,0.8875,0.8182,0.9,0.9222,0.8182,1970-01-01 00:29:02.414400,3687.0,0.09997555609875333,0.1271082864825226,1.2059593034006821,47.82876256274915,15.671311697647127,7.952150586338951,7.719161111308176,5.930101402815253,156.74786569531724,1,0,0,BW
DGLY,13798969.0,0.07025,0.0705,0.07,0.0728,0.0685,1970-01-01 00:29:02.414400,6184.0,-0.0070921985815600936,0.0627737226277372,4.9069728457704285,47.51076267718754,1.71173272045948,0.7817447786558214,0.9299879418036587,5.2851426003462,67.45215955489076,1,0,0,DGLY
ONCO,11647158.0,0.1278,0.1245,0.125,0.1309,0.118,1970-01-01 00:29:02.414400,16960.0,0.004016064257028116,0.10932203389830504,3.4425031739348206,47.573087437298796,-29.858487924022892,-33.26902224945304,3.4105343254301452,3.8615181939151006,95.94250238029296,1,0,0,ONCO
CGBS,458828.0,0.2423,0.251,0.2404,0.251,0.2375,1970-01-01 00:29:02.414400,1350.0,-0.04223107569721115,0.05684210526315795,1.5012433253062507,46.97224186644711,6.414326618538922,3.7830046614655206,2.6313219570734017,6.63374514471581,55.400047985938116,1,0,0,CGBS
DRIO,1976794.0,0.6528,0.655,0.72,0.7261,0.655,1970-01-01 00:29:02.414400,374.0,0.09923664122137396,0.1085496183206106,4.749232643914102,47.14492712082895,-3.578061709020597,-4.046713061019449,0.4686513519988518,4.331648603499741,16.147180167335566,1,0,0,DRIO
PBM,61527.0,0.694,0.691,0.699,0.7115,0.6706,1970-01-01 00:29:02.414400,302.0,0.01157742402315486,0.0609901580674024,2.0295089753992914,46.45541084243123,2.9062342666057503,2.360312887195893,0.5459213794098572,7.5149327022290935,22.171056008300223,1,0,0,PBM
PET,104732.0,0.2469,0.2461,0.2403,0.2551,0.233,1970-01-01 00:29:02.414400,327.0,-0.023567655424624134,0.09484978540772523,3.496661324786325,46.10219991901355,-1.5710278362682022,-1.591868863960706,0.020841027692503733,7.017071638576126,16.83314339382565,1,0,0,PET
FMST,39066.0,0.7469,0.7431,0.74,0.79,0.7,1970-01-01 00:29:02.414400,101.0,-0.004171713093796248,0.1285714285714287,1.978706592649621,46.82724584042798,-0.5633337094620892,-1.4352592137313833,0.8719255042692942,4.767440468605124,23.22424810772304,1,0,0,FMST
CSLRW,76637.0,0.1664,0.1436,0.1892,0.195,0.1436,1970-01-01 00:29:02.414400,68.0,0.31754874651810583,0.3579387186629526,2.9183485400070066,46.593735742266894,0.3727089581554921,0.17286165178016125,0.19984730637533085,4.650395646067338,21.73723852414751,1,0,0,CSLRW
SWAG,65135.0,1.0218,0.9,1.0,1.17,0.9,1970-01-01 00:29:02.414400,196.0,0.11111111111111108,0.2999999999999999,2.8527193574100194,46.921680209472676,3.586152440480447,2.3400620696156755,1.2460903708647715,5.166520368920392,29.06687289056575,1,0,0,SWAG
KVACW,79304.0,0.03184,0.031,0.0358,0.0365,0.029,1970-01-01 00:29:02.414400,73.0,0.1548387096774193,0.25862068965517226,2.388358169399236,45.83489205236865,-0.0587833109237792,-0.161737517418899,0.1029542064951198,6.248477828483595,19.263180359979465,1,0,0,KVACW
RVPHW,41380.0,0.05692,0.06,0.0504,0.06,0.0451,1970-01-01 00:29:02.414400,58.0,-0.15999999999999998,0.3303769401330376,2.059403181175721,47.12469725971135,-0.4004174164123633,-1.8853336367973916,1.4849162203850284,5.017712070555009,22.71175671737377,1,0,0,RVPHW
