ticker,volume,vwap,open,close,high,low,timestamp,trade_count,price_change,volatility,volume_surge,rsi,macd_line,macd_signal,macd_diff,adx,atr,buy_signal,mfi,ticker_encoded
DDC,908280.0,0.1847,0.2099,0.1861,0.2099,0.1804,1970-01-01 00:29:02.414400,695.0,-0.11338732729871374,0.16352549889135254,2.5468883982374684,46.86237365341169,-4.039424979699874,-4.038159323980361,-0.0012656557195125373,3.830307015422556,48.851604379985254,1,0,0
ALLK,1246730.0,0.2528,0.255,0.2575,0.258,0.2497,1970-01-01 00:29:02.414400,1416.0,0.00980392156862746,0.033239887865438536,2.4385621142589566,47.38489387022047,2.3897748239102583,11.982120389479258,-9.592345565569,6.613153824883123,90.86101218638987,0,0,0
LYRA,878525.0,0.1543,0.148,0.1589,0.1625,0.144,1970-01-01 00:29:02.414400,1316.0,0.0736486486486488,0.12847222222222235,2.135431352150198,47.330445416432056,10.169964523384287,6.637324467507388,3.5326400558768993,6.009778289537634,71.93301483777631,1,0,0
BMRA,124854.0,0.6659,0.65,0.6777,0.6979,0.65,1970-01-01 00:29:02.414400,441.0,0.042615384615384534,0.0736923076923076,2.3477446578062593,47.33196654550077,-6.2152633765486485,-5.015110031682307,-1.200153344866341,4.22892367515687,59.57562608365344,0,0,0
MOBX,211592.0,0.8926,0.8801,0.8822,0.9251,0.88,1970-01-01 00:29:02.414400,654.0,0.00238609248948982,0.05125000000000003,1.9413926807829722,46.84820799866494,-5.235111823167202,1.3952615184813348,-6.630373341648537,4.968629085110628,48.50273453957754,0,0,0
LXRX,5818217.0,0.352,0.36,0.3575,0.3684,0.3425,1970-01-01 00:29:02.414400,6752.0,-0.006944444444444451,0.07562043795620431,4.297373824932199,46.865600049406716,-8.470089888081215,-1.8313958924987963,-6.638693995582419,4.8495714608379705,43.80009457749287,1,0,0
PTPI,8699190.0,0.06809,0.0624,0.0718,0.0726,0.0612,1970-01-01 00:29:02.414400,4716.0,0.15064102564102574,0.18627450980392157,2.4067925678407964,46.160160915469575,-5.047615522679095,-2.1729772631500794,-2.8746382595290156,5.6551354657624575,31.051098504400215,0,0,0
OPTT,3163428.0,0.5186,0.51,0.5045,0.529,0.5045,1970-01-01 00:29:02.414400,6637.0,-0.010784313725490314,0.048562933597621566,3.088783832155367,47.05590547130682,-6.697782884974675,-0.34444104251316765,-6.353341842461507,5.208444097785545,47.15307900346297,1,0,0
XAIR,1796494.0,0.2785,0.3,0.2764,0.3,0.268,1970-01-01 00:29:02.414400,2497.0,-0.0786666666666667,0.11940298507462675,1.5285512025947594,47.865505308367574,42.13063581072409,22.722763215579935,19.407872595144152,7.835421519536578,171.0982954135058,1,0,0
SCLX,1160532.0,0.3142,0.3093,0.2947,0.34,0.2947,1970-01-01 00:29:02.414400,2477.0,-0.047203362431296476,0.15371564302680693,2.191062975134151,47.02540457281948,3.7775144565975722,5.001279336485098,-1.2237648798875256,5.8537603250850365,68.91448016152911,1,0,0
BREA,1312121.0,0.7352,0.69,0.6878,0.7,0.6361,1970-01-01 00:29:02.414400,5584.0,-0.00318840579710142,0.10045590315988046,1.982598560210136,47.950353577648094,-46.32118178377698,6.698119371425308,-53.019301155202285,5.577518798432495,322.33858168834985,1,0,0
SUNE,123252038.0,0.5292,0.38,0.434,0.63,0.3715,1970-01-01 00:29:02.414400,148044.0,0.1421052631578947,0.6958277254374159,4.928656152640657,46.75508584933088,-23.183925287909677,-26.733728396104386,3.549803108194709,2.1545962603975504,66.99289615426304,1,0,0
OCGN,2651537.0,0.5322,0.515,0.5489,0.55,0.515,1970-01-01 00:29:02.414400,6778.0,0.06582524271844668,0.06796116504854374,2.8543973037382986,46.70641142578209,-6.9590889779628,-2.1694808279716775,-4.789608149991123,4.610038792332641,38.49623925648017,0,0,0
ICON,8278250.0,0.1018,0.101,0.105,0.106,0.0954,1970-01-01 00:29:02.414400,4730.0,0.0396039603960395,0.11111111111111109,3.583110769922239,46.47674669009098,-6.6049852924152965,-5.212103806826162,-1.3928814855891343,3.931042473945382,25.99509183281114,0,0,0
CNF,454756.0,0.9481,0.9081,0.856,0.95,0.7228,1970-01-01 00:29:02.414400,2491.0,-0.057372536064310135,0.3143331488655229,1.2242777193279066,47.14759395768391,-0.7091456494698889,-0.7671342016653001,0.057988552195411214,5.196280299442299,38.17774734314561,1,0,0
MULN,12981208.0,0.4176,0.4145,0.4,0.4888,0.365,1970-01-01 00:29:02.414400,16309.0,-0.034981905910735724,0.33917808219178086,4.075960801069674,47.052752524962116,-3.5893635491799394,-2.138670462137667,-1.4506930870422723,4.192560478250987,45.95630925087505,1,0,0
NKTR,688648.0,0.8734,0.87,0.8972,0.8993,0.8438,1970-01-01 00:29:02.414400,2801.0,0.03126436781609196,0.06577388006636643,3.1979062279131845,45.21016692206577,-1.5369773374690823,1.0323535736654943,-2.5693309111345766,5.262822459699768,26.723189631358682,0,0,0
BCAB,393020.0,0.3632,0.3541,0.356,0.3799,0.35,1970-01-01 00:29:02.414400,1933.0,0.005365715899463308,0.08542857142857155,1.382879903168147,45.138711901802296,-3.954312879729514,0.035020282986492624,-3.9893331627160067,5.468973333877039,24.85347608626163,0,0,0
TLRY,38987767.0,0.6503,0.6789,0.6422,0.6812,0.6301,1970-01-01 00:29:02.414400,30232.0,-0.05405803505670932,0.08109823837486119,4.6861257756078505,46.95921724889252,0.6499856899869556,4.721039249303986,-4.07105355931703,7.319231817585383,51.2454328252564,1,0,0
HIT,3424820.0,0.7524,0.68,0.7229,0.82,0.68,1970-01-01 00:29:02.414400,5365.0,0.06308823529411756,0.20588235294117632,1.7408614204528878,47.512960506649236,-4.512786214690244,-1.7745915874637292,-2.738194627226515,3.770310694007589,49.99547846502279,0,0,0
HOLO,13109737.0,0.7866,0.77,0.788,0.81,0.75,1970-01-01 00:29:02.414400,18224.0,0.0233766233766234,0.08000000000000007,4.282561777274618,45.681292014054705,0.6916859045999715,4.691633580143005,-3.9999476755430337,6.6918272806858266,32.838145418754685,0,0,0
VLCN,86183.0,0.8566,0.889,0.8694,0.889,0.8422,1970-01-01 00:29:02.414400,585.0,-0.022047244094488258,0.05556874851579205,1.9983444322840342,47.26543634214064,-13.729114477931152,-10.608086004415881,-3.1210284735152705,3.92000434811857,56.1590052740731,1,0,0
TGL,333319.0,0.1141,0.1172,0.1161,0.1198,0.1116,1970-01-01 00:29:02.414400,556.0,-0.009385665529010271,0.07347670250896056,2.0416027107116475,47.02818437778784,-14.322087513797555,-12.400470901372389,-1.9216166124251668,3.806759340555979,36.8130554462789,1,0,0
CLDI,161745.0,0.8276,0.85,0.8054,0.85,0.8054,1970-01-01 00:29:02.414400,538.0,-0.05247058823529409,0.05537621057859445,2.177756175324553,46.90381051697496,-3.987046281566357,-2.258395498738476,-1.7286507828278812,4.086177378726231,39.094832724209446,1,0,0
ONVO,3862290.0,0.2854,0.3246,0.2722,0.333,0.25305,1970-01-01 00:29:02.414400,6548.0,-0.1614294516327788,0.3159454653230588,3.2549847165417836,47.18161151887374,-9.83755059215654,-4.446714146215823,-5.3908364459407165,4.392584479806165,49.76058352437234,1,0,0
CISO,2232262.0,0.6474,0.751,0.6204,0.768999,0.5611,1970-01-01 00:29:02.414400,4778.0,-0.17390146471371512,0.37052040634468,1.8386336930932652,46.53496155904693,-4.693891578062754,-2.8559560717896257,-1.8379355062731282,4.233602072933073,30.159847841986824,1,0,0
NXTT,49559.0,0.3312,0.316,0.34,0.35,0.316,1970-01-01 00:29:02.414400,180.0,0.07594936708860767,0.10759493670886068,1.561916948212395,46.63464268057402,1.1348374273764037,6.94954410880603,-5.814706681429627,7.078599420251159,43.44469160323074,0,0,0
USAS,1245758.0,0.5643,0.5453,0.5622,0.5749,0.5453,1970-01-01 00:29:02.414400,1210.0,0.030992114432422568,0.05428204657986422,1.926023843426824,47.26173346002748,-11.920243267652904,-7.681364285825357,-4.238878981827547,4.65018556348953,48.85244990668106,0,0,0
LCTX,1230027.0,0.5004,0.4799,0.4944,0.5279,0.476,1970-01-01 00:29:02.414400,3369.0,0.030214628047509927,0.10903361344537828,2.1218739703530685,47.14806030237602,-7.11005728916728,-0.5810405169830936,-6.529016772184186,4.770964463582723,54.996736097945494,0,0,0
OCEA,24426807.0,0.05785,0.0569,0.0605,0.0639,0.0511,1970-01-01 00:29:02.414400,8869.0,0.06326889279437609,0.25048923679060664,4.718878060731534,45.60115113032028,-1.5882388676683767,-0.27317940920409817,-1.3150594584642785,4.825376879908186,28.72567236908253,0,0,0
CVM,1182464.0,0.294,0.295,0.2878,0.3013,0.2813,1970-01-01 00:29:02.414400,2128.0,-0.024406779661016897,0.07109847138286533,1.2670532341433505,46.78889620459325,-5.561519068386058,-2.798592482410304,-2.7629265859757544,4.394391941235203,31.556248010894176,1,0,0
NVNI,7790240.0,0.2654,0.273,0.2525,0.278,0.248,1970-01-01 00:29:02.414400,7820.0,-0.07509157509157516,0.12096774193548399,4.533511921430548,46.49803078240272,-4.851526046769358,-5.498897911417507,0.6473718646481492,3.768236985693414,37.84505376134838,1,0,0
